,Height,Weight,Medal_Counts,Percentage_Win_H,Percentage_Win_W
2222,174,70,1,3.911378063912817,3.513738718388901
2223,174,83,1,3.911378063912817,4.166290194661125
2224,174,98,1,3.911378063912817,4.919234205744461
2225,174,92,1,3.911378063912817,4.618056601311126
2226,174,51,1,3.911378063912817,2.5600096376833417
2227,174,63,1,3.911378063912817,3.1623648465500103
2228,174,105,1,3.911378063912817,5.2706080775833515
2229,174,87,1,3.911378063912817,4.367075264283348
2230,174,103,1,3.911378063912817,5.170215542772239
2231,175,77,1,3.9338572481881777,3.8651125902277905
2232,175,133,1,3.9338572481881777,6.67610356493891
2233,175,136,1,3.9338572481881777,6.826692367155578
2234,175,48,1,3.9338572481881777,2.409420835466675
2235,175,92,1,3.9338572481881777,4.618056601311126
2236,175,71,1,3.9338572481881777,3.563934985794456
2237,175,95,1,3.9338572481881777,4.768645403527794
2238,175,91,1,3.9338572481881777,4.56786033390557
2239,175,109,1,3.9338572481881777,5.471393147205574
2240,175,89,1,3.9338572481881777,4.467467799094459
2241,175,69,1,3.9338572481881777,3.463542450983345
2242,175,49,1,3.9338572481881777,2.4596171028722305
2243,175,62,1,3.9338572481881777,3.112168579144455
2244,175,114,1,3.9338572481881777,5.722374484233352
2245,175,78,1,3.9338572481881777,3.9153088576333466
2246,175,99,1,3.9338572481881777,4.969430473150016
2247,175,51,1,3.9338572481881777,2.5600096376833417
2248,176,95,1,3.9563364324635386,4.768645403527794
2249,176,105,1,3.9563364324635386,5.2706080775833515
2250,176,94,1,3.9563364324635386,4.7184491361222385
2251,176,175,1,3.9563364324635386,8.784346795972251
2252,176,69,1,3.9563364324635386,3.463542450983345
2253,176,89,1,3.9563364324635386,4.467467799094459
2254,176,79,1,3.9563364324635386,3.965505125038902
2255,176,136,1,3.9563364324635386,6.826692367155578
2256,176,91,1,3.9563364324635386,4.56786033390557
2257,176,48,1,3.9563364324635386,2.409420835466675
2258,176,104,1,3.9563364324635386,5.220411810177795
2259,176,51,1,3.9563364324635386,2.5600096376833417
2260,176,100,1,3.9563364324635386,5.019626740555572
2261,176,92,1,3.9563364324635386,4.618056601311126
2262,176,55,1,3.9563364324635386,2.7607947073055645
2263,177,96,1,3.9788156167388995,4.81884167093335
2264,177,59,1,3.9788156167388995,2.9615797769277874
2265,177,52,1,3.9788156167388995,2.6102059050888977
2266,177,69,1,3.9788156167388995,3.463542450983345
2267,177,55,1,3.9788156167388995,2.7607947073055645
2268,177,100,1,3.9788156167388995,5.019626740555572
2269,177,51,1,3.9788156167388995,2.5600096376833417
2270,178,52,1,4.001294801014261,2.6102059050888977
2271,178,107,1,4.001294801014261,5.371000612394463
2272,178,76,1,4.001294801014261,3.814916322822235
2273,178,106,1,4.001294801014261,5.320804344988907
2274,178,53,1,4.001294801014261,2.6604021724944533
2275,178,79,1,4.001294801014261,3.965505125038902
2276,178,54,1,4.001294801014261,2.7105984399000094
2277,178,67,1,4.001294801014261,3.363149916172233
2278,179,108,1,4.023773985289622,5.421196879800019
2279,179,77,1,4.023773985289622,3.8651125902277905
2280,179,100,1,4.023773985289622,5.019626740555572
2281,179,94,1,4.023773985289622,4.7184491361222385
2282,179,97,1,4.023773985289622,4.869037938338905
2283,179,65,1,4.023773985289622,3.262757381361122
2284,179,93,1,4.023773985289622,4.668252868716682
2285,179,66,1,4.023773985289622,3.312953648766678
2286,179,103,1,4.023773985289622,5.170215542772239
2287,179,57,1,4.023773985289622,2.861187242116676
2288,179,105,1,4.023773985289622,5.2706080775833515
