,Height,Weight,Medal_Counts
829,161.0,62.0,10
830,162.0,62.0,10
831,162.0,45.0,10
832,163.0,65.0,10
833,164.0,61.0,10
834,164.0,51.0,10
835,170.0,82.0,10
836,171.0,74.0,10
837,173.0,55.0,10
838,174.0,85.0,10
839,177.0,82.0,10
840,177.0,84.0,10
841,179.0,65.0,10
842,180.0,87.0,10
843,180.0,62.0,10
844,181.0,90.0,10
845,181.0,100.0,10
846,182.0,65.0,10
847,183.0,62.0,10
848,183.0,69.0,10
849,184.0,69.0,10
850,185.0,100.0,10
851,186.0,67.0,10
852,186.0,94.0,10
853,186.0,100.0,10
854,189.0,82.0,10
855,189.0,90.0,10
856,189.0,81.0,10
857,189.0,77.0,10
858,190.0,96.0,10
859,192.0,97.0,10
860,193.0,104.0,10
861,195.0,80.0,10
862,195.0,94.0,10
863,196.0,91.0,10
864,196.0,89.0,10
865,196.0,97.0,10
866,197.0,94.0,10
867,198.0,86.0,10
868,200.0,87.0,10
869,203.0,98.0,10
870,,73.0,9
871,155.0,50.0,9
872,155.0,47.0,9
873,155.0,48.0,9
874,156.0,60.0,9
875,157.0,55.0,9
876,159.0,57.0,9
877,163.0,66.0,9
878,164.0,66.0,9
879,166.0,53.0,9
880,169.0,54.0,9
881,170.0,78.0,9
882,170.0,76.0,9
883,170.0,50.0,9
884,172.0,52.0,9
885,173.0,84.0,9
886,173.0,79.0,9
887,174.0,77.0,9
888,175.0,81.0,9
889,176.0,86.0,9
890,176.0,59.0,9
891,176.0,84.0,9
892,177.0,81.0,9
893,179.0,67.0,9
894,180.0,94.0,9
895,180.0,100.0,9
896,180.0,89.0,9
897,181.0,85.0,9
898,181.0,89.0,9
899,184.0,92.0,9
900,184.0,100.0,9
901,184.0,,9
902,185.0,110.0,9
903,186.0,71.0,9
904,186.0,89.0,9
905,189.0,79.0,9
906,189.0,94.0,9
907,189.0,,9
908,191.0,,9
909,191.0,97.0,9
910,191.0,95.0,9
911,196.0,102.0,9
912,198.0,88.0,9
913,200.0,84.0,9
914,200.0,98.0,9
915,200.0,97.0,9
916,200.0,,9
917,201.0,100.0,9
918,,74.0,8
919,150.0,40.0,8
920,152.0,47.0,8
921,153.0,48.0,8
922,154.0,52.0,8
923,155.0,54.0,8
924,155.0,52.0,8
925,157.0,58.0,8
926,157.0,60.0,8
927,158.0,44.0,8
928,158.0,49.0,8
929,159.0,49.0,8
930,159.0,50.0,8
931,160.0,63.0,8
932,161.0,54.0,8
933,162.0,,8
934,162.0,47.0,8
935,163.0,49.0,8
936,163.0,67.0,8
937,163.0,68.0,8
938,163.0,48.0,8
939,164.0,,8
940,164.0,48.0,8
941,164.0,70.0,8
942,166.0,67.0,8
943,166.0,,8
944,166.0,69.0,8
945,167.0,71.0,8
946,168.0,53.0,8
947,170.0,81.0,8
948,171.0,56.0,8
949,171.0,53.0,8
950,172.0,79.0,8
951,172.0,76.0,8
952,172.0,55.0,8
953,172.0,83.0,8
954,173.0,78.0,8
955,174.0,86.0,8
956,175.0,90.0,8
957,175.0,54.0,8
958,177.0,,8
959,177.0,90.0,8
960,179.0,62.0,8
961,181.0,83.0,8
962,181.0,98.0,8
963,182.0,64.0,8
964,182.0,91.0,8
965,184.0,67.0,8
966,184.0,95.0,8
967,185.0,69.0,8
968,185.0,102.0,8
969,185.0,96.0,8
970,189.0,75.0,8
971,189.0,100.0,8
972,189.0,97.0,8
973,190.0,72.0,8
974,190.0,,8
975,191.0,100.0,8
976,191.0,96.0,8
977,191.0,75.0,8
978,191.0,77.0,8
979,192.0,86.0,8
980,192.0,100.0,8
981,192.0,96.0,8
982,193.0,97.0,8
